
,Tue Sep 05 15:15:14 MST 2023: Alex - CONNECT
/Thu Jun 20 21:27:23 EDT 2024: Kirsten - CONNECT
-Thu Jun 20 21:50:57 EDT 2024: David - CONNECT
-Thu Jun 20 21:52:04 EDT 2024: David - CONNECT
/Thu Jun 20 22:16:04 EDT 2024: Kirsten - CONNECT
-Thu Jun 20 22:17:45 EDT 2024: David - CONNECT
-Thu Jun 20 22:18:50 EDT 2024: David - CONNECT
-Thu Jun 20 22:20:26 EDT 2024: David - CONNECT
/Thu Jun 20 22:22:36 EDT 2024: Kirsten - CONNECT
/Thu Jun 20 22:24:27 EDT 2024: Kirsten - CONNECT
0Thu Jun 20 22:25:17 EDT 2024: Kirsteen - CONNECT
-Thu Jun 20 22:27:33 EDT 2024: David - CONNECT
0Thu Jun 20 22:33:59 EDT 2024: KKirsten - CONNECT
-Thu Jun 20 22:34:19 EDT 2024: David - CONNECT
/Thu Jun 20 22:35:29 EDT 2024: Kirsten - CONNECT
/Thu Jun 20 22:41:53 EDT 2024: Kirsten - CONNECT
/Thu Jun 20 22:42:30 EDT 2024: Kirsten - CONNECT
/Thu Jun 20 22:42:48 EDT 2024: Kirsten - CONNECT
-Thu Jun 20 22:43:09 EDT 2024: David - CONNECT
/Thu Jun 20 22:51:30 EDT 2024: Kirsten - CONNECT
/Thu Jun 20 22:52:17 EDT 2024: Kirsten - CONNECT
/Thu Jun 20 22:57:27 EDT 2024: Kirsten - CONNECT
/Thu Jun 20 22:59:11 EDT 2024: Kirsten - CONNECT
-Thu Jun 20 22:59:35 EDT 2024: David - CONNECT
/Thu Jun 20 23:03:08 EDT 2024: Kirsten - CONNECT
/Thu Jun 20 23:07:33 EDT 2024: Kirsten - CONNECT
-Thu Jun 20 23:08:25 EDT 2024: David - CONNECT
-Thu Jun 20 23:11:20 EDT 2024: David - CONNECT
/Thu Jun 20 23:11:44 EDT 2024: Kirsten - CONNECT
/Thu Jun 20 23:15:58 EDT 2024: Kirsten - CONNECT
-Thu Jun 20 23:16:16 EDT 2024: David - CONNECT
/Thu Jun 20 23:18:14 EDT 2024: Kirsten - CONNECT
/Thu Jun 20 23:21:05 EDT 2024: Kirsten - CONNECT
-Thu Jun 20 23:21:13 EDT 2024: David - CONNECT
/Thu Jun 20 23:26:36 EDT 2024: Kirsten - CONNECT
-Thu Jun 20 23:26:49 EDT 2024: DAvid - CONNECT
-Thu Jun 20 23:27:07 EDT 2024: David - CONNECT
/Thu Jun 20 23:35:19 EDT 2024: Kirsten - CONNECT
-Thu Jun 20 23:35:44 EDT 2024: David - CONNECT
/Thu Jun 20 23:38:24 EDT 2024: Kirsten - CONNECT
-Thu Jun 20 23:38:32 EDT 2024: David - CONNECT
/Thu Jun 20 23:50:01 EDT 2024: Kirsten - CONNECT
-Thu Jun 20 23:50:05 EDT 2024: David - CONNECT
/Thu Jun 20 23:55:06 EDT 2024: Kirsten - CONNECT
-Thu Jun 20 23:55:10 EDT 2024: David - CONNECT
/Fri Jun 21 00:01:54 EDT 2024: Kirsten - CONNECT
-Fri Jun 21 00:01:58 EDT 2024: David - CONNECT
/Fri Jun 21 00:05:53 EDT 2024: Kirsten - CONNECT
-Fri Jun 21 00:05:58 EDT 2024: David - CONNECT
/Fri Jun 21 00:12:41 EDT 2024: Kirsten - CONNECT
-Fri Jun 21 00:12:46 EDT 2024: David - CONNECT
/Fri Jun 21 00:14:03 EDT 2024: Kirsten - CONNECT
-Fri Jun 21 00:14:08 EDT 2024: David - CONNECT
/Fri Jun 21 00:17:59 EDT 2024: Kirsten - CONNECT
-Fri Jun 21 00:18:04 EDT 2024: David - CONNECT
/Fri Jun 21 00:24:59 EDT 2024: Kirsten - CONNECT
-Fri Jun 21 00:25:10 EDT 2024: David - CONNECT
/Fri Jun 21 00:29:19 EDT 2024: Kirsten - CONNECT
-Fri Jun 21 00:29:24 EDT 2024: David - CONNECT
/Fri Jun 21 00:37:54 EDT 2024: Kirsten - CONNECT
-Fri Jun 21 00:37:57 EDT 2024: David - CONNECT
/Fri Jun 21 00:47:28 EDT 2024: Kirsten - CONNECT
/Fri Jun 21 00:50:30 EDT 2024: Kirsten - CONNECT
/Fri Jun 21 00:51:04 EDT 2024: Kirsten - CONNECT
-Fri Jun 21 00:52:04 EDT 2024: David - CONNECT
-Fri Jun 21 00:52:49 EDT 2024: David - CONNECT
/Fri Jun 21 00:53:21 EDT 2024: Kirsten - CONNECT
/Fri Jun 21 00:55:34 EDT 2024: Kirsten - CONNECT
/Fri Jun 21 12:29:08 EDT 2024: Kirsten - CONNECT
-Fri Jun 21 12:29:11 EDT 2024: David - CONNECT
-Fri Jun 21 12:34:04 EDT 2024: David - CONNECT
/Fri Jun 21 12:34:23 EDT 2024: Anariya - CONNECT
/Fri Jun 21 12:45:03 EDT 2024: Kirsten - CONNECT
/Fri Jun 21 12:58:15 EDT 2024: Kirsten - CONNECT
-Fri Jun 21 13:00:49 EDT 2024: David - CONNECT
/Fri Jun 21 13:04:48 EDT 2024: Kirsten - CONNECT
,Fri Jun 21 13:07:00 EDT 2024: Valo - CONNECT
0Fri Jun 21 13:10:36 EDT 2024: Miquella - CONNECT
/Fri Jun 21 13:12:33 EDT 2024: Malenia - CONNECT
0Fri Jun 21 13:15:37 EDT 2024: Maliketh - CONNECT
/Fri Jun 21 14:20:18 EDT 2024: Kirsten - CONNECT
/Fri Jun 21 14:22:34 EDT 2024: Kirsten - CONNECT
